Sample_id,Location,Year,Ship,Distance (m),Salinity (PSU),Season,pH,Temperature (ºC )
ACS1,Bow 000,2023,Accomac,0,3.42,Summer,7.6464,27.39
ACS2,Bow 025,2023,Accomac,25,3.42,Summer,7.6464,27.39
ACS3,Bow 050,2023,Accomac,50,3.42,Summer,7.6464,27.39
ACS4,Bow 075,2023,Accomac,75,3.42,Summer,7.6464,27.39
ACS5,Bow 100,2023,Accomac,100,3.42,Summer,7.6464,27.39
ACS6,Port 000,2023,Accomac,0,3.71,Summer,7.5963,27.231
ACS7,Port 025,2023,Accomac,25,3.71,Summer,7.5963,27.231
ACS8,Port 050,2023,Accomac,50,3.71,Summer,7.5963,27.231
ACS9,Port 075,2023,Accomac,75,3.71,Summer,7.5963,27.231
ACS10,Port 100,2023,Accomac,100,3.71,Summer,7.5963,27.231
ACS16,Starboard 000,2023,Accomac,0,3.84,Summer,7.7242,27.309
ACS17,Starboard 025,2023,Accomac,25,3.84,Summer,7.7242,27.309
ACS18,Starboard 050,2023,Accomac,50,3.84,Summer,7.7242,27.309
ACS19,Starboard 075,2023,Accomac,75,3.84,Summer,7.7242,27.309
ACS20,Starboard 100,2023,Accomac,100,3.84,Summer,7.7242,27.309
ACS11,Stern 000 ,2023,Accomac,0,3.66,Summer,7.8029,27.313
ACS12,Stern 025,2023,Accomac,25,3.66,Summer,7.8029,27.313
ACS13,Stern 050,2023,Accomac,50,3.66,Summer,7.8029,27.313
ACS14,Stern 075,2023,Accomac,75,3.66,Summer,7.8029,27.313
ACS15,Stern 100,2023,Accomac,100,3.66,Summer,7.8029,27.313
SS056,Bow 000,2023,Aowa,0,3.66,Summer,7.9971,28.483
SS057,Bow 025,2023,Aowa,25,3.51,Summer,8.1514,28.877
SS058,Bow 050,2023,Aowa,50,3.49,Summer,8.2042,28.921
SS059,Bow 075,2023,Aowa,75,3.58,Summer,8.1571,28.684
SS060,Bow 100,2023,Aowa,100,3.7,Summer,8.05,28.443
SS061,Bow 150,2023,Aowa,150,3.57,Summer,8.1371,28.633
SS062,Bow 200,2023,Aowa,200,3.57,Summer,8.2029,28.78
SS049,Stern 000 ,2023,Aowa,0,3.81,Summer,7.8157,27.894
SS050,Stern 025,2023,Aowa,25,3.94,Summer,7.9117,27.81
SS051,Stern 050,2023,Aowa,50,3.94,Summer,7.8957,27.718
SS052,Stern 075,2023,Aowa,75,4,Summer,7.9317,27.752
SS053,Stern 100,2023,Aowa,100,3.82,Summer,7.755,27.445
SS054,Stern 150,2023,Aowa,150,3.75,Summer,7.7443,27.42
SS055,Stern 200,2023,Aowa,200,3.83,Summer,7.6743,27.316
ACC24.EA11b,Bow 000,2024,Accomac,0,4.21,Fall,8,13.907
ACC24.EA12,Bow 025,2024,Accomac,25,4.21,Fall,8,13.907
ACC24.EA13,Bow 050,2024,Accomac,50,4.21,Fall,8,13.907
ACC24.EA14,Bow 075,2024,Accomac,75,4.21,Fall,8,13.907
ACC24.EA15,Bow 100,2024,Accomac,100,4.21,Fall,8,13.907
ACC24.EA1b,Port 000,2024,Accomac,0,4.14,Fall,7.9658,13.965
ACC24.EA2,Port 025,2024,Accomac,25,4.14,Fall,7.9658,13.965
ACC24.EA3,Port 050,2024,Accomac,50,4.14,Fall,7.9658,13.965
ACC24.EA4,Port 075,2024,Accomac,75,4.14,Fall,7.9658,13.965
ACC24.EA5,Port 100,2024,Accomac,100,4.14,Fall,7.9658,13.965
ACC24.EA6,Starboard 000,2024,Accomac,0,4.2,Fall,7.9883,13.973
ACC24.EA7b,Starboard 025,2024,Accomac,25,4.2,Fall,7.9883,13.973
ACC24.EA8,Starboard 050,2024,Accomac,50,4.2,Fall,7.9883,13.973
ACC24.EA9,Starboard 075,2024,Accomac,75,4.2,Fall,7.9883,13.973
ACC24.EA10,Starboard 100,2024,Accomac,100,4.2,Fall,7.9883,13.973
ACC24.EA16,Stern 000 ,2024,Accomac,0,4.08,Fall,7.962,13.894
ACC24.EA17,Stern 025,2024,Accomac,25,4.08,Fall,7.962,13.894
ACC24.EA18,Stern 050,2024,Accomac,50,4.08,Fall,7.962,13.894
ACC24.EA19,Stern 075,2024,Accomac,75,4.08,Fall,7.962,13.894
ACC24.EA20,Stern 100,2024,Accomac,100,4.08,Fall,7.962,13.894
SS0136,Bow 000,2024,Aowa,0,4.27,Fall,7.9178,13.812
SS0137,Bow 025,2024,Aowa,25,4.33,Fall,7.9055,13.792
SS0138,Bow 050,2024,Aowa,50,4.29,Fall,7.845,13.882
SS0139,Bow 075,2024,Aowa,75,4.3,Fall,7.9178,13.9
SS0140,Bow 100,2024,Aowa,100,4.35,Fall,7.92,13.862
SS0141,Bow 150,2024,Aowa,150,4.33,Fall,7.9244,13.875
SS0142,Bow 200,2024,Aowa,200,4.27,Fall,7.923,13.921
SS0129,Stern 000 ,2024,Aowa,0,4.36,Fall,7.906,13.743
SS0130,Stern 025,2024,Aowa,25,4.31,Fall,7.9291,13.681
SS0131,Stern 050,2024,Aowa,50,4.3,Fall,7.9309,13.668
SS0132,Stern 075,2024,Aowa,75,4.29,Fall,7.9318,13.667
SS0133,Stern 100,2024,Aowa,100,4.28,Fall,7.94,73.669
SS0134,Stern 150,2024,Aowa,150,4.32,Fall,7.93,13.668
SS0135,Stern 200,2024,Aowa,200,4.23,Fall,7.9508,13.649
