,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_2,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_4,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
ASV_6,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum
ASV_7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax
ASV_8,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_9,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_10,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_11,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Methylibium
ASV_12,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_13,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_14,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_15,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_16,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
ASV_18,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_19,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_20,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_22,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_23,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7
ASV_24,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_25,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_26,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_27,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_28,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_29,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_30,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter
ASV_31,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_32,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_33,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_34,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_35,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_36,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_37,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,NA
ASV_38,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_39,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_40,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,NA
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_43,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_44,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_45,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_46,Bacteria,Nitrospirae,4-29-1,NA,NA,NA
ASV_47,Bacteria,Nitrospirae,4-29-1,NA,NA,NA
ASV_48,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_49,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_50,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_51,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_52,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_53,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea
ASV_54,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_55,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_56,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_57,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_58,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_59,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
